iter	MultiClass
0	1.548438429
1	1.479221864
2	1.426207053
3	1.378520507
4	1.322573205
5	1.263842679
6	1.210338666
7	1.155091245
8	1.102391505
9	1.070680932
10	1.036667016
11	0.9940309033
12	0.9604205218
13	0.923835318
14	0.888401548
15	0.8597346254
16	0.8394375068
17	0.8170267054
18	0.7910599553
19	0.7629250128
20	0.7407321034
21	0.7187639008
22	0.6988327067
23	0.6811793453
24	0.6605690342
25	0.645323082
26	0.6296322202
27	0.613290418
28	0.5983651962
29	0.5865844139
30	0.5722188926
31	0.5581318979
32	0.5449401089
33	0.5309475562
34	0.5181848033
35	0.5043364085
36	0.4943873389
37	0.4825234529
38	0.4699729004
39	0.4588373481
40	0.4474535855
41	0.4379286953
42	0.430238133
43	0.4215773882
44	0.4142013404
45	0.4066414735
46	0.3984813064
47	0.3900957123
48	0.3813842997
49	0.3717298454
50	0.3660745998
51	0.3583382015
52	0.3511074547
53	0.3438735558
54	0.3376476952
55	0.332226652
56	0.3259850322
57	0.3184137477
58	0.3127650359
59	0.3072380763
60	0.3018831899
61	0.2968925554
62	0.2922701815
63	0.288028282
64	0.2838221856
65	0.2789597543
66	0.2742825854
67	0.2699888144
68	0.2656465936
69	0.2616098116
70	0.2576923282
71	0.2539005911
72	0.2502804729
73	0.2466861777
74	0.241749433
75	0.2382959387
76	0.2337384287
77	0.2291036408
78	0.2257243375
79	0.2223576869
80	0.2192678128
81	0.2156131386
82	0.2128851843
83	0.2097895449
84	0.2067768344
85	0.2027134266
86	0.1989152878
87	0.1964562737
88	0.193741686
89	0.1913426477
90	0.1893771316
91	0.1868153816
92	0.1842265759
93	0.1823466797
94	0.1795716621
95	0.1772960337
96	0.1749766507
97	0.1731978266
98	0.1710438748
99	0.169090687
100	0.1665810127
101	0.1642824112
102	0.1623080926
103	0.1603153277
104	0.1582388912
105	0.1564062577
106	0.1548449356
107	0.1530712099
108	0.1510152555
109	0.1491413211
110	0.1476034019
111	0.1459188319
112	0.144188533
113	0.1425534718
114	0.1410534432
115	0.139013492
116	0.1375573678
117	0.1359267061
118	0.1346552843
119	0.1332420903
120	0.1320521621
121	0.1307603323
122	0.128994536
123	0.1270710271
124	0.125939901
125	0.1249755363
126	0.1238033543
127	0.1226262857
128	0.1214996414
129	0.1199920825
130	0.1189247757
131	0.1177706542
132	0.1169573423
133	0.1157736531
134	0.1146741061
135	0.1137285266
136	0.1125731687
137	0.1114842965
138	0.1102789438
139	0.1094357312
140	0.1084535711
141	0.1072224778
142	0.106260999
143	0.1054173151
144	0.1045345763
145	0.1034469133
146	0.102639325
147	0.1017947531
148	0.1009438818
149	0.1002097274
