iter	Passed	Remaining
0	5	770
1	9	717
2	14	698
3	19	694
4	23	676
5	27	667
6	32	656
7	35	623
8	38	609
9	41	587
10	44	562
11	46	540
12	49	520
13	51	498
14	53	477
15	54	453
16	54	430
17	55	409
18	56	390
19	57	373
20	58	357
21	59	343
22	59	330
23	60	318
24	61	307
25	62	297
26	63	288
27	64	279
28	65	271
29	66	264
30	67	257
31	67	250
32	68	244
33	69	238
34	70	232
35	71	226
36	72	220
37	73	215
38	73	210
39	74	205
40	75	200
41	76	196
42	77	191
43	77	187
44	78	183
45	79	179
46	80	176
47	81	172
48	81	168
49	82	165
50	83	162
51	84	158
52	85	155
53	86	153
54	86	150
55	87	147
56	88	144
57	89	141
58	90	139
59	91	136
60	91	134
61	92	131
62	93	129
63	94	126
64	95	124
65	95	122
66	96	119
67	97	117
68	98	115
69	99	113
70	99	111
71	100	109
72	101	107
73	102	105
74	103	103
75	103	101
76	104	99
77	105	97
78	106	95
79	107	94
80	108	92
81	109	90
82	109	88
83	110	87
84	111	85
85	112	83
86	113	81
87	114	80
88	114	78
89	115	77
90	116	75
91	117	73
92	118	72
93	119	70
94	119	69
95	120	67
96	121	66
97	122	64
98	123	63
99	123	61
100	124	60
101	125	59
102	126	57
103	127	56
104	128	54
105	129	53
106	129	52
107	130	50
108	131	49
109	132	48
110	133	46
111	134	45
112	135	44
113	135	42
114	136	41
115	137	40
116	138	39
117	139	37
118	140	36
119	141	35
120	142	34
121	143	32
122	144	31
123	144	30
124	145	29
125	146	27
126	147	26
127	148	25
128	149	24
129	150	23
130	151	21
131	151	20
132	152	19
133	153	18
134	154	17
135	155	16
136	156	14
137	157	13
138	158	12
139	159	11
140	160	10
141	161	9
142	162	7
143	163	6
144	164	5
145	164	4
146	165	3
147	166	2
148	167	1
149	168	0
